"No.","Time","Source","Destination","Protocol","Length","Info"
"1986","23.619200827","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [PSH, ACK] Seq=266199 Ack=8588 Win=90112 Len=1208 TSval=1176364072 TSecr=986382701 [TCP PDU reassembled in 1989]"
"1987","23.619200883","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=267407 Ack=8588 Win=90112 Len=1208 TSval=1176364072 TSecr=986382701 [TCP PDU reassembled in 1989]"
"1988","23.619200909","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=268615 Ack=8588 Win=90112 Len=1208 TSval=1176364072 TSecr=986382701 [TCP PDU reassembled in 1989]"
"1989","23.619200935","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","1294","Application Data"
"1990","23.619346390","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","QUIC","172","Handshake, DCID=11140e0005a8b8a9fe6f1f50fd3fe492559c96d5, SCID=8ca9c0"
"1991","23.619382636","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","TCP","86","38062  >  443 [ACK] Seq=8588 Ack=271031 Win=142336 Len=0 TSval=986382753 TSecr=1176364070"
"1992","23.619881571","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=271031 Ack=8588 Win=90112 Len=1208 TSval=1176364073 TSecr=986382701 [TCP PDU reassembled in 2008]"
"1993","23.619881649","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=272239 Ack=8588 Win=90112 Len=1208 TSval=1176364073 TSecr=986382701 [TCP PDU reassembled in 2008]"
"1994","23.619881676","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [PSH, ACK] Seq=273447 Ack=8588 Win=90112 Len=1208 TSval=1176364073 TSecr=986382701 [TCP PDU reassembled in 2008]"
"1995","23.619891238","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","TCP","86","38062  >  443 [ACK] Seq=8588 Ack=273447 Win=152576 Len=0 TSval=986382754 TSecr=1176364073"
"1996","23.621568665","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","QUIC","234","Protected Payload (KP0), DCID=11140e0005a8b8a9fe6f1f50fd3fe492559c96d5"
"1997","23.621587415","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","QUIC","139","Protected Payload (KP0), DCID=11140e0005a8b8a9fe6f1f50fd3fe492559c96d5"
"1998","23.622100965","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","QUIC","359","Protected Payload (KP0), DCID=11140e0005a8b8a9fe6f1f50fd3fe492559c96d5"
"1999","23.624107567","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=274655 Ack=8588 Win=90112 Len=1208 TSval=1176364074 TSecr=986382701 [TCP PDU reassembled in 2008]"
"2000","23.624107894","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=275863 Ack=8588 Win=90112 Len=1208 TSval=1176364074 TSecr=986382701 [TCP PDU reassembled in 2008]"
"2001","23.624107920","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [PSH, ACK] Seq=277071 Ack=8588 Win=90112 Len=1208 TSval=1176364074 TSecr=986382701 [TCP PDU reassembled in 2008]"
"2002","23.624107967","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=278279 Ack=8588 Win=90112 Len=1208 TSval=1176364075 TSecr=986382712 [TCP PDU reassembled in 2008]"
"2003","23.624107994","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=279487 Ack=8588 Win=90112 Len=1208 TSval=1176364075 TSecr=986382712 [TCP PDU reassembled in 2008]"
"2004","23.624108021","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [PSH, ACK] Seq=280695 Ack=8588 Win=90112 Len=1208 TSval=1176364075 TSecr=986382712 [TCP PDU reassembled in 2008]"
"2005","23.624108048","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=281903 Ack=8588 Win=90112 Len=1208 TSval=1176364075 TSecr=986382712 [TCP PDU reassembled in 2008]"
"2006","23.624108075","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=283111 Ack=8588 Win=90112 Len=1208 TSval=1176364075 TSecr=986382712 [TCP PDU reassembled in 2008]"
"2007","23.624132132","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","TCP","86","38062  >  443 [ACK] Seq=8588 Ack=275863 Win=153600 Len=0 TSval=986382758 TSecr=1176364073"
"2008","23.624154990","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","1294","Application Data"
"2009","23.624155072","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=285527 Ack=8588 Win=90112 Len=1208 TSval=1176364076 TSecr=986382712 [TCP PDU reassembled in 2013]"
"2010","23.624155099","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=286735 Ack=8588 Win=90112 Len=1208 TSval=1176364076 TSecr=986382712 [TCP PDU reassembled in 2013]"
"2011","23.624155125","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [PSH, ACK] Seq=287943 Ack=8588 Win=90112 Len=1208 TSval=1176364076 TSecr=986382712 [TCP PDU reassembled in 2013]"
"2012","23.624155171","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=289151 Ack=8588 Win=90112 Len=1208 TSval=1176364077 TSecr=986382712 [TCP PDU reassembled in 2013]"
